id,SalePrice
1461,103232.4595666586
1462,161851.7515144928
1463,174842.11753773526
1464,191167.54167694598
1465,219898.66634213296
1466,185195.72206355585
1467,178872.97291630786
1468,177799.13308239751
1469,205578.37158055883
1470,100506.57454174408
1471,213972.67457340402
1472,114329.73342622654
1473,104323.89191301912
1474,168979.13795679435
1475,139877.95497043408
1476,328711.2106888357
1477,265179.09037019475
1478,295486.37536690873
1479,290162.7641977703
1480,397509.47295823996
1481,306146.115492058
1482,235317.40917421202
1483,195219.22277078615
1484,195961.34657896985
1485,176582.20315387403
1486,215583.91063183174
1487,315056.9575164183
1488,268197.02244904893
1489,204724.37933906703
1490,209153.43780081184
1491,210800.6785691732
1492,95186.79907701188
1493,192406.0475502764
1494,289318.9259905729
1495,288702.17880239896
1496,228454.65450668242
1497,212340.8744461108
1498,175731.03397818212
1499,175992.36703290348
1500,160634.38028277503
1501,180026.47626056266
1502,165689.40063490137
1503,262386.3015347286
1504,242911.54568993277
1505,227621.83177509974
1506,225873.26785403793
1507,252977.61677626218
1508,209804.58168603084
1509,171865.0609575631
1510,150041.20749515924
1511,147815.60370564112
1512,177421.259336418
1513,168300.82556315302
1514,183661.03408934106
1515,221175.18038634537
1516,159364.61466803472
1517,155244.59422884253
1518,182203.72483416623
1519,228507.9211203293
1520,126748.81442595273
1521,132845.0335015892
1522,184171.9227243713
1523,105799.79015470296
1524,107551.46754547046
1525,108284.83166685072
1526,111270.90458950773
1527,89083.46201236104
1528,144809.45838413038
1529,141649.9270960209
1530,187447.9837378573
1531,116308.83982354403
1532,84541.27861676784
1533,156855.74601811985
1534,143541.5298055231
1535,159993.3404009405
1536,119188.54951870302
1537,43944.87905287114
1538,193002.68112542713
1539,217103.73131027794
1540,152050.6540821232
1541,158378.56743317237
1542,154523.3400926902
1543,216031.77051774994
1544,62825.60423629847
1545,115078.76290564472
1546,128716.05851426488
1547,125357.3889484792
1548,139930.7609853258
1549,107595.88212105399
1550,142508.847552991
1551,129172.7598462149
1552,143776.68126110127
1553,144209.8238976358
1554,135097.54201458697
1555,167857.58785520447
1556,101151.70301063731
1557,120198.42291432223
1558,103088.58033810346
1559,107612.80586948548
1560,143230.42295377073
1561,168345.17110197013
1562,115643.90767704207
1563,104064.75322990748
1564,167222.9864443303
1565,141614.3292919749
1566,218458.69155217987
1567,69780.92854519258
1568,214097.14566172287
1569,114143.60747451172
1570,126164.90493988479
1571,117554.21578265494
1572,138657.28690244746
1573,232786.34016342484
1574,153501.6629186829
1575,214723.5401870259
1576,223285.2213070162
1577,205329.38341569412
1578,149386.7425611124
1579,134689.0911185781
1580,211474.19668877288
1581,131110.2180407939
1582,118468.385065126
1583,304038.2795534369
1584,240498.10677323653
1585,148200.34966050508
1586,26167.467027800973
1587,84696.11890752753
1588,136190.86010468914
1589,98103.18769744923
1590,143846.00363202975
1591,79652.27743996168
1592,136632.18581835506
1593,121175.49774452043
1594,138876.3834591275
1595,125933.27907759836
1596,235787.13331200834
1597,197597.46133163292
1598,192290.99987327354
1599,192525.08788177278
1600,209848.7205223099
1601,6913.3850571005605
1602,117155.51792396815
1603,66566.40338464268
1604,259195.96885515307
1605,260365.6569381561
1606,176304.08597123437
1607,247689.28835810605
1608,227285.18681206228
1609,204337.31781045534
1610,146538.67757818755
1611,147760.42735615652
1612,187674.55912015773
1613,176695.025186599
1614,114299.12719797995
1615,75796.2048704999
1616,75796.2048704999
1617,88080.10091440985
1618,114684.32704189117
1619,120058.78086538822
1620,225683.68456027145
1621,139443.8980824612
1622,138846.03500764235
1623,266644.1149361541
1624,209060.87763126008
1625,117639.07448664773
1626,191005.8711227763
1627,191690.17403816455
1628,281289.7741059186
1629,187176.3388150758
1630,333223.1258838163
1631,239474.47988346568
1632,259503.81463614386
1633,174152.75449582818
1634,194279.4283864249
1635,175626.75982259703
1636,176132.44646824454
1637,189958.850363394
1638,220188.7700009048
1639,207945.53152682912
1640,267419.0357988465
1641,201325.38869993598
1642,226764.9448445444
1643,248025.1951349352
1644,241683.42967585777
1645,191996.421577289
1646,160234.4795981357
1647,185051.71527742106
1648,146926.51003415184
1649,123214.01278207381
1650,98764.79766299087
1651,108390.73018097668
1652,115288.28463170002
1653,114809.00902896351
1654,172499.29270066484
1655,172476.8980250808
1656,169937.6891622676
1657,173457.8439061381
1658,170416.96476500435
1659,140357.23057317082
1660,138640.76161025115
1661,359545.1436978709
1662,339083.3017516078
1663,328082.6552283708
1664,406668.2416208214
1665,300601.2866969309
1666,285812.8733089152
1667,316920.5795867995
1668,301114.6853225769
1669,278699.1085664837
1670,306174.7422918326
1671,254295.56284955028
1672,367488.9223047653
1673,291110.0970912189
1674,269151.46610189695
1675,198509.2457639866
1676,193477.44589203293
1677,216985.0635361583
1678,389683.9978591681
1679,325781.5274461149
1680,303858.55147185316
1681,261976.68604388507
1682,278080.74535273504
1683,219682.5191305289
1684,195735.55783048063
1685,181006.23630752065
1686,203000.8076924265
1687,176843.53620859538
1688,210961.13985696877
1689,207790.10971772787
1690,198831.04924553563
1691,187188.89309749217
1692,259592.5133747328
1693,176582.20315387403
1694,181695.6384696921
1695,177570.59290353023
1696,270333.58289645123
1697,177309.25984880887
1698,320707.72146882047
1699,306612.58893463784
1700,238966.88356069126
1701,269351.760473978
1702,279146.81979998597
1703,273666.1857345004
1704,279248.1364901671
1705,240906.96524413326
1706,371074.2186913735
1707,225339.95704567502
1708,221788.6009977532
1709,280449.67542540655
1710,240011.22009779187
1711,251082.20411884575
1712,281629.9615176846
1713,257165.8294216448
1714,234265.1287438881
1715,209207.94376288797
1716,203504.4950788722
1717,195574.28505035816
1718,156026.20405378495
1719,219498.3074475003
1720,259424.88707289542
1721,192264.4015814762
1722,134184.67562822835
1723,156617.42275708658
1724,238020.01723425323
1725,236413.07928110426
1726,190810.74229573295
1727,189065.54484168184
1728,196214.41208456596
1729,163790.56741651753
1730,160568.95879206643
1731,123739.2287816673
1732,112035.16884918767
1733,100709.82401075098
1734,117886.28508698358
1735,114675.77131065121
1736,105833.83795682946
1737,296498.49444800103
1738,220269.74294364336
1739,319800.76119288616
1740,235556.73320448468
1741,185527.13997105532
1742,180026.47626056266
1743,191120.1805276943
1744,260871.72520877165
1745,241554.85889156396
1746,243821.82825826365
1747,215940.6721380062
1748,242179.47031731857
1749,159575.1254541783
1750,156189.2949613114
1751,240019.3096696867
1752,103585.47762717074
1753,183033.65150128934
1754,232534.7902723411
1755,174929.69166178233
1756,96875.00310021313
1757,99751.27280527772
1758,138850.016499324
1759,165371.04261343554
1760,164368.14929639339
1761,154888.57921886328
1762,180203.190638036
